label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,24_154,24_155,24_156,24_157,24_158,24_159,24_160,24_161,24_162,24_163,24_164,24_165,24_166,24_167,24_168,24_169,24_170,24_171,24_172,24_173,24_174,24_175,24_176,24_177,24_178,24_179,24_180,24_181,24_182,24_183,24_184,24_185,24_186,24_187,24_188,24_189,24_190,24_191,24_192,24_193,24_194,24_195,24_196,24_197,24_198,24_199,24_200,24_201,24_202,24_203,24_204,24_205,24_206,24_207,blank1,blank2,blank3,blank4,blank5,blank6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,8,43,184.9865,12.58317,0.8473853,,3-phosphoglycerate,C00197,-1,5411.333,184.9865,95787.18,8799.669,25007.57,13719.19,26635.41,34147.32,87485.34,19855.5,7851.559,120279.8,940.7719,22649.92,68273.37,26930.68,53008.89,36913.88,14180.7,27749.25,91396.44,19747.68,29867.65,64546.16,44612,13967.69,132726.1,18714.64,15613.2,27096.57,12375.8,12243.7,6880.574,11671.97,75587.63,118605.8,1650.971,15001.59,6598.492,20866.76,21726.66,53550.85,49011.66,5451.751,65201,92163.28,22378.8,7108.499,25785.99,23979.39,47450.1,2893.311,15690.58,17583.97,68701.48,24728.09,8078.663,13550.97,11095.03,1562.609,1331.9,1496.333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,9,20,102.0557,4.109674,0.8101647,,4-aminobutyrate,C00334,-1,9777.242,102.0557,349308.4,135614.1,95768.48,1591814,272057.9,196133.5,1816517,169465.6,113357.7,301198.7,100767.9,433988.9,188447,359579.6,42156.84,2044800,269295.6,143163.6,343995.5,263574.7,163367,1154052,160570.5,216116,328164.3,234861.1,154134.8,726293.4,218394.2,188769.8,871703.9,133922.9,159005,1086374,104788.1,166953.8,756884.4,113776.2,296694.7,907363.4,40725.45,172932.3,843569.8,64211.98,72420.34,955466.8,73746.41,128038.7,396949.7,150009.5,174783.7,1053300,319081.5,100821.4,108707.8,27716.14,49979.47,8845.54,22968.8,18083.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,10,18,103.0587,4.00138,0.8306522,,4-aminobutyrate,C00334,-1,45.30408,103.0587,5762.116,1698.487,1340.247,26870.58,18157.1,10351.94,23672.88,2537.047,2392.61,10597.28,732.3042,12313.2,3995.157,8905.865,15702.84,45361.04,14091.45,4394.5,11625.89,11673.39,2541.109,38255.19,3194.391,3395.451,7583.537,11562.74,6529.445,29226.59,3641.681,9397.19,43194.27,8410.711,6544.15,45546.39,3884.223,2857.042,46338.52,7690.289,3447.497,64891.04,4597.223,14739.38,52703.65,10206.31,4561.779,120492.8,2704.507,12484.7,31254.53,9959.476,6701.337,92009.95,6272.104,4008.55,613.6115,518.0081,3856.805,587.3069,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,11,4,106.069,4.055772,0.8321056,,4-aminobutyrate,C00334,-1,29163.46,106.069,0,0,0,0,0,546.5438,513.619,552.51,0,476.384,0,0,0,0,0,580.6083,0,0,498.2209,0,0,0,502.0196,0,0,0,0,1671.17,0,0,2015.23,0,518.749,688.7018,0,0,5478.396,0,0,6442.205,479.0427,996.3724,7590.595,0,0,24260.82,0,0,2686.272,0,0,23900.13,0,0,0,0,0,403.3706,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,12,7,105.0657,4.089735,0.841661,,4-aminobutyrate,C00334,-1,19428.86,105.0657,0,0,504.9469,0,0,0,0,716.864,0,0,0,0,0,0,0,0,0,0,0,0,548.6393,1786.402,0,0,528.3356,568.1633,0,2571.714,495.1843,0,7159.305,0,0,3670.479,413.0143,0,14053.75,0,0,14301.48,0,0,8449.651,0,0,44058.36,0,0,9670.214,487.5196,0,35693.18,1440.3,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,13,53,188.0673,11.63831,0.8526933,,4-Pyridoxic acid,C00847,-1,27391.74,188.0673,1710405,50122.46,73957.78,4636324,220260,57598.17,4759298,115950.9,22626.99,1.08E+07,25890.39,82633.9,3414054,177378.9,39970.32,3308456,152248,44529.67,5646069,142030.4,91538.24,3314624,88495.82,68447.34,7886280,419710.4,75569.3,1943094,141218.3,90656.56,511227.4,71639.83,62212.89,3951609,13985.4,100521.4,1046046,152637.7,23743.71,1085618,148610.1,291572.1,4973474,199961.1,91834.06,150770.6,124772.8,68570.28,1174362,35959.08,87182.02,722381,126751.9,48178.28,8470.157,3607.165,7553.934,328.6109,316.6095,322.9973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,14,19,189.0699,11.62281,0.8494,,4-Pyridoxic acid,C00847,-1,32868.89,189.0699,57834.77,367.1419,1299.224,213286.1,6071.296,1223.213,165857.8,1612.966,370.8058,390226.8,345.3174,3312.976,142359.4,7541.091,862.933,140999,4559.071,724.2286,274490.7,5736.272,680.1459,149190.3,2033.585,1605.221,302601.2,15689.57,1685.648,125785.4,4739.412,2970.903,31851.66,1684.178,2613.884,208107.8,0,2338.193,87887.87,4452.673,1889.245,80954.27,4679.172,10148.62,347750.7,7821.828,1156.489,20638.86,1456.516,1889.695,134634.5,1048.551,3587.844,93953.7,768.656,429.3708,714.9415,0,0,420.271,390.9499,379.091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,15,20,190.0747,11.70658,0.8379114,,4-Pyridoxic acid,C00847,-1,38358.04,190.0747,12168.75,465.4993,15278.36,22177.45,8742.42,15672.62,20813.89,24594.04,5695.405,75345.41,1338.47,7877.769,48687.71,15225.29,16196.21,24626.98,8613.622,10844.33,85172.79,10231.95,18308.57,46095.28,19722.06,15294.38,88271.77,11703.19,2828.202,75985.91,2544.461,5533.195,12848.16,3372.998,9456.45,10033.37,508.979,5297.011,89332.38,2765.062,28966.15,90755.28,2281.882,18950.52,294607.4,20283.89,14495.04,32520.91,28958.96,5057.833,205368.2,3018.973,8198.088,164665.3,14910.2,4148.006,19508.35,10997.7,49305.38,913.4878,1370.104,1124.912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,16,55,145.0138,11.80179,0.8513015,,a-ketoglutarate,C00026,-1,6901.181,145.0138,1550910,54353.71,315165.1,156173,646949,176122.6,1085660,324457.2,10223.29,6481033,6460.183,166517.1,6227190,367625,160356.8,559748.3,245339.2,215458.8,3112023,153984.3,278354.8,1750091,252817.7,269005.3,6777419,609978,71745.7,839520.5,152003.8,216432.5,87380.84,75379.02,148336.4,3205575,6113.143,1022962,113618.4,309556.1,254036,410899,407666.9,339005.7,1541103,463927.7,145959,16892.26,414691.7,160294.9,529077.3,14010.44,290752.8,185541.5,154613.5,123098.6,14803.49,14195.84,16729.55,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,17,31,146.0173,11.81667,0.847069,,a-ketoglutarate,C00026,-1,29.15462,146.0173,23496.08,0,7455.927,2447.36,12010.41,2463.447,18069.24,5386.466,342.8297,108723.5,0,3489.622,110744.6,8923.072,1736.177,13560.47,5795.365,4992.456,83441.54,3010.211,6510.162,41916.69,7256.42,4230.463,148100.5,15149.54,4625.748,28800.08,3123.236,10078.64,722.1346,2136.379,5226.719,79621.27,354.4175,33658.77,4015.367,9891.13,4117.979,18238.49,12774.68,13494.82,76938.81,17467.25,8334.463,219.0713,19285.18,10867.7,40325.33,764.0831,9491.302,13607.6,9712.855,2049.12,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,18,24,147.0202,11.80189,0.8407111,,a-ketoglutarate,C00026,-1,6838.9,147.0202,2108.614,300.6891,723.3495,881.2092,939.7256,610.0679,1636.076,537.6226,0,41297.98,0,1370.985,46209.51,1947.523,1279.889,5401.712,508.1068,457.4734,46384.68,995.2361,4126.172,34821.27,542.5696,1034.356,96617.43,5418.655,1021.192,25875.61,2791.396,3021.497,4491.292,413.9486,4326.207,76735.1,339.3152,22466.06,4183.824,7109.247,6008.542,22757.87,2500.497,16180.25,96546.27,16384.57,10097.67,1415.678,26972.43,14775.85,65021.62,320.6576,30009.01,22705.98,11048.69,9223.08,0,0,0,269.5529,0,288.1801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,19,51,89.04243,1.256489,0.8528987,,alanine,C00041,-1,58.94622,89.04243,435757.5,838180,365785.3,1141174,989795.4,904787.2,1084711,368021.3,1611084,236248.5,1190952,978613.8,349335.3,1066235,933765.2,1363737,1116036,899250.4,182724.5,1017435,307474.8,1004564,223292.2,332877.4,278101.6,820525.2,1289974,560428.9,1368296,1317098,482478.5,712971,336224,899335.9,802875.1,373287.1,542541.1,389836.6,422162.6,557436.8,467481.6,1046565,602735.4,614271.5,311538.7,1168546,334526.2,833641.3,379341.2,1505055,315806.4,711929.6,802284.6,575639.8,508.9364,484.9577,499.3419,1415.379,1556.039,1012.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
