"","compound","treatment","sample.type","mean.k","sd.k","mean.A","sd.A"
"71","dihydroxy-acetone-phosphate","15N","HBBD",NA,NA,NA,NA
"72","dihydroxy-acetone-phosphate","15N","SML",NA,NA,NA,NA
"73","dimethylglycine","15N","BBD",0.00144807527402593,0.000490575757693425,0.957281068151431,0.0161300804158651
"74","dimethylglycine","15N","HBBD",0.000249184053345354,0.000134917323178892,0.988931928284409,0.00286565581760477
"75","dimethylglycine","15N","SML",0.000363422751908087,0.000152890837458365,0.991398959721531,0.00305620298558283
"76","FAD","15N","BBD",0.000214847047309805,0.000270776879481029,0.764669608978043,0.0115404120896615
"77","FAD","15N","HBBD",-0.000422666913917412,0.000213516767125521,0.789370089979261,0.00177560972287031
"78","FAD","15N","SML",-0.000155270693871707,0.00054849702706438,0.812569561733109,0.0318373800540578
"79","Flavone","15N","BBD",NA,NA,NA,NA
"80","Flavone","15N","HBBD",NA,NA,NA,NA
"81","Flavone","15N","SML",NA,NA,NA,NA
"82","fructose-1-6-bisphosphate","15N","BBD",NA,NA,NA,NA
"83","fructose-1-6-bisphosphate","15N","HBBD",NA,NA,NA,NA
"84","fructose-1-6-bisphosphate","15N","SML",NA,NA,NA,NA
"85","fumarate","15N","BBD",NA,NA,NA,NA
"86","fumarate","15N","HBBD",NA,NA,NA,NA
"87","fumarate","15N","SML",NA,NA,NA,NA
"88","GDP","15N","BBD",0.000118776936385663,0.000747147307489316,0.495140449768165,0.0183542473891428
"89","GDP","15N","HBBD",-0.00045689499647631,0.000355835743181751,0.457430134094817,0.025282659783566
"90","GDP","15N","SML",0.000333038104796194,0.000824643768138261,0.488380181999625,0.0112474674439544
"91","glutamate","15N","BBD",0.00561577441282521,0.00115466041415813,0.848518715519286,0.0245274845552977
"92","glutamate","15N","HBBD",0.0160004954735259,0.00231307114585847,0.816524207216385,0.0323572380474251
"93","glutamate","15N","SML",0.023731166534255,0.00835009743156542,0.877559657436578,0.0649992603764183
"94","glutamine","15N","BBD",-0.000710680561091223,0.000854612582805307,0.617812290564961,0.0384708482201081
"95","glutamine","15N","HBBD",0.0250067238907391,0.00341555101144298,0.910733731005757,0.0474586191104278
"96","glutamine","15N","SML",0.0941787099361097,0.0268977356515273,0.929953398000228,0.0877421489514071
"97","glutathione","15N","BBD",0.00197038928641806,0.00681006356682058,0.798128448502791,0.235462240895094
"98","glutathione","15N","HBBD",0.833499089444596,1.44300821958278,0.0521893833657471,0.0454410745077375
"99","glutathione","15N","SML",0.00778805412764982,0.00225713914452154,0.0217105465652408,0.00747135281322522
"100","glutathione disulfide","15N","BBD",0.000449511006011457,2.83753363300665e-05,0.796195652384063,0.00449586719938238
"101","glutathione disulfide","15N","HBBD",0.000483499809718382,0.000688409731064806,0.91520151134187,0.0326846379609388
"102","glutathione disulfide","15N","SML",6.47126542790087e-05,0.000363718778695188,0.912248805934854,0.00919223119033505
"103","Glycerophosphocholine","15N","BBD",NA,NA,NA,NA
"104","Glycerophosphocholine","15N","HBBD",NA,NA,NA,NA
"105","Glycerophosphocholine","15N","SML",NA,NA,NA,NA
"106","GMP","15N","BBD",-4.34775320065692e-05,0.000105152178347202,0.65634245581183,0.00630445158213512
"107","GMP","15N","HBBD",5.17582887765868e-05,0.000134897755172774,0.65459922549779,0.0112619639659432
"108","GMP","15N","SML",1.3546737092887e-05,3.21214859380394e-05,0.653953129820136,0.00523362884359821
"109","guanine","15N","BBD",NA,NA,NA,NA
"110","guanine","15N","HBBD",NA,NA,NA,NA
"111","guanine","15N","SML",NA,NA,NA,NA
"112","guanosine","15N","BBD",NA,NA,NA,NA
"113","guanosine","15N","HBBD",NA,NA,NA,NA
"114","guanosine","15N","SML",NA,NA,NA,NA
"115","Hydroxyphenylacetic acid","15N","BBD",NA,NA,NA,NA
"116","Hydroxyphenylacetic acid","15N","HBBD",NA,NA,NA,NA
"117","Hydroxyphenylacetic acid","15N","SML",NA,NA,NA,NA
"118","hypoxanthine","15N","BBD",NA,NA,NA,NA
"119","hypoxanthine","15N","HBBD",NA,NA,NA,NA
"120","hypoxanthine","15N","SML",NA,NA,NA,NA
"121","inosine","15N","BBD",-2.75721722685653e-05,0.000105724842776625,0.971483047057734,0.006093798050174
"122","inosine","15N","HBBD",0.000264501509311359,7.91628400094871e-05,0.992363201508082,0.00816152670495823
"123","inosine","15N","SML",-4.56201090010149e-05,2.92637706617168e-05,0.993712714728861,0.00398905091179648
"124","L-arginino-succinate","15N","BBD",0.0401153765170488,0.0265754760568081,0.0656316104279671,0.034735864213926
"125","L-arginino-succinate","15N","HBBD",NA,NA,NA,NA
"126","L-arginino-succinate","15N","SML",NA,NA,NA,NA
"127","leucine/isoleucine","15N","BBD",0.000886355696226768,7.48552214875888e-05,0.982541002834111,0.00624135052858257
"128","leucine/isoleucine","15N","HBBD",0.00109542129601696,0.000473485122399836,0.99729851150199,0.00953028936456353
"129","leucine/isoleucine","15N","SML",0.00118475484850068,0.000434547270784729,0.992066255134998,0.00642373827939464
"130","malate","15N","BBD",NA,NA,NA,NA
"131","malate","15N","HBBD",NA,NA,NA,NA
"132","malate","15N","SML",NA,NA,NA,NA
"133","methionine","15N","BBD",0.000547418853991216,0.000225485314592408,0.995146721725248,0.00854259466404162
"134","methionine","15N","HBBD",0.00225877690240698,0.00114274605053428,0.99643144175832,0.0326039445177808
"135","methionine","15N","SML",0.00240773149206876,0.00056761937004222,1.00756365324039,0.0179373296981776
"136","Methionine sulfoxide","15N","BBD",NA,NA,NA,NA
"137","Methionine sulfoxide","15N","HBBD",NA,NA,NA,NA
"138","Methionine sulfoxide","15N","SML",NA,NA,NA,NA
"139","N-acetyl-glucosamine-1/6-phosphate","15N","BBD",0.00240689867624058,0.000670274090044446,0.8692324270657,0.047990615757701
"140","N-acetyl-glucosamine-1/6-phosphate","15N","HBBD",8.16219099361033e-05,0.000125074245455647,0.96692010973273,0.00653020774541986
"141","N-acetyl-glucosamine-1/6-phosphate","15N","SML",0.000253592795703743,0.000480883444791781,0.978877273618993,0.0182389847206303
"142","N-acetyl-glutamate","15N","BBD",NA,NA,NA,NA
"143","N-acetyl-glutamate","15N","HBBD",NA,NA,NA,NA
"144","N-acetyl-glutamate","15N","SML",NA,NA,NA,NA
"145","N-acetyl-glutamine","15N","BBD",0.00695204888267651,0.00636610675854635,0.129906016806256,0.0369964117715613
"146","N-acetyl-glutamine","15N","HBBD",7.30979033305488e-05,0.000310849959999173,0.605650949645822,0.0203918899222932
"147","N-acetyl-glutamine","15N","SML",-0.000125389750522093,0.00105577178945526,0.744822719427608,0.030036744310832
"148","N-Acetyl-L-alanine","15N","BBD",NA,NA,NA,NA
"149","N-Acetyl-L-alanine","15N","HBBD",NA,NA,NA,NA
"150","N-Acetyl-L-alanine","15N","SML",NA,NA,NA,NA
"151","N-carbamoyl-L-aspartate","15N","BBD",NA,NA,NA,NA
"152","N-carbamoyl-L-aspartate","15N","HBBD",NA,NA,NA,NA
"153","N-carbamoyl-L-aspartate","15N","SML",NA,NA,NA,NA
"154","NAD+","15N","BBD",0.000819567707329449,0.000393669006246383,0.89185436040561,0.0227371688312363
"155","NAD+","15N","HBBD",-0.000205110326359635,0.000199779873558009,0.877733404360632,0.00248695740012325
"156","NAD+","15N","SML",-0.000401525480189016,7.80099351748671e-05,0.894309565557367,0.0211684859350224
"157","NADH","15N","BBD",NA,NA,NA,NA
"158","NADH","15N","HBBD",NA,NA,NA,NA
"159","NADH","15N","SML",NA,NA,NA,NA
"160","NADP+","15N","BBD",-1.08242585625688e-05,0.000612622754647761,0.893798584773392,0.0421426691644368
"161","NADP+","15N","HBBD",-9.66366609009869e-05,0.000290071179227344,0.962023338482639,0.0243059513352178
"162","NADP+","15N","SML",-0.000597837206107671,0.000355974064661894,0.938630877669392,0.0365263111528414
"163","nicotinate","15N","BBD",NA,NA,NA,NA
"164","nicotinate","15N","HBBD",NA,NA,NA,NA
"165","nicotinate","15N","SML",NA,NA,NA,NA
"166","ornithine","15N","BBD",NA,NA,NA,NA
"167","ornithine","15N","HBBD",NA,NA,NA,NA
"168","ornithine","15N","SML",NA,NA,NA,NA
"169","orotate","15N","BBD",NA,NA,NA,NA
"170","orotate","15N","HBBD",NA,NA,NA,NA
"171","orotate","15N","SML",NA,NA,NA,NA
"172","p-hydroxybenzoate","15N","BBD",NA,NA,NA,NA
"173","p-hydroxybenzoate","15N","HBBD",NA,NA,NA,NA
"174","p-hydroxybenzoate","15N","SML",NA,NA,NA,NA
"175","phosphoenolpyruvate","15N","BBD",NA,NA,NA,NA
"176","phosphoenolpyruvate","15N","HBBD",NA,NA,NA,NA
"177","phosphoenolpyruvate","15N","SML",NA,NA,NA,NA
"178","purine","15N","BBD",0.000972293657283849,0.00349870667492744,0.0346255062540031,0.0055321848958668
"179","purine","15N","HBBD",0.00338348257001645,0.00143273312734395,0.0414834413592428,0.00719027414063059
"180","purine","15N","SML",0.00193199686937065,0.00167970841755684,0.0375371010540307,0.00598415913858766
"181","Pyroglutamic acid","15N","BBD",0.000184095053419546,7.93215717801287e-05,0.999077025705817,0.00146454992880244
"182","Pyroglutamic acid","15N","HBBD",0.000147677059014889,0.000144538717026475,0.999318295074362,0.0022287386981999
"183","Pyroglutamic acid","15N","SML",8.6217773899615e-05,4.83957685322776e-05,0.998373160348094,0.000676272566101371
"184","pyruvate","15N","BBD",NA,NA,NA,NA
"185","pyruvate","15N","HBBD",NA,NA,NA,NA
"186","pyruvate","15N","SML",NA,NA,NA,NA
"187","quinolinate","15N","BBD",NA,NA,NA,NA
"188","quinolinate","15N","HBBD",NA,NA,NA,NA
"189","quinolinate","15N","SML",NA,NA,NA,NA
"190","serine","15N","BBD",NA,NA,NA,NA
"191","serine","15N","HBBD",NA,NA,NA,NA
"192","serine","15N","SML",NA,NA,NA,NA
"193","sn-glycerol-3-phosphate","15N","BBD",NA,NA,NA,NA
"194","sn-glycerol-3-phosphate","15N","HBBD",NA,NA,NA,NA
