compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
acadesine,257.0931,D02742,257.0931,49184.78,28872.31,31253.32,18607.62,21502.4,19432.32,60317.03,72328.87,17964.92,27254.66,42255.19,17198.31,65260.12,8001.012,55080.21,65290.54,29878.15,17852.86,30554.54,16599.96,55645.06,23150.75,59837.34,34816.42,28006.93,46820.21,57095.49,7108.188,35929.1,58931.89,30369.87,19050.37,53320.45,43000.56,28799.02,55453.73,35532.68,43528.84,70159.55,26990.74,36295.1,65926.24,22649.39,40485.89,16971.54,22060.27,28707.43,17419.45,22254.19,34461.66,63379.46,33354.21,43051.98,65141.82,12478.57,18199.23,10868.75,11541.16,9218.582,3249.69
adenine,139.0332,C00147,139.0332,189363.1,0,0,136664.6,0,0,144828.2,0,0,156419.1,0,0,12744.99,0,0,30282.47,0,0,113820.8,0,0,187225.4,0,0,58253.56,0,0,209430.8,0,0,208485.7,0,0,167942.6,0,0,192522.7,0,0,130167,0,0,159838.6,0,0,85359.46,0,0,208676.4,0,0,260925.4,0,0,0,0,0,563.1985,0,0
adenine,137.0363,C00147,137.0363,39478.97,8978.626,18676.45,52753.08,39171.67,22480.96,41358.38,39076.16,56202.37,205772.5,35362.05,17331.51,19071.07,10292.92,38334.55,28250.45,24466.78,70941.11,25813.57,26371.92,20502.6,25397.63,21251.93,20364.26,19142.49,19327.62,44238.98,13801.08,14887.91,11306.04,39298.38,24807.85,10584.6,545114.6,20170.64,36294.55,1383126,38136.96,31525.45,4755224,37348.58,35864.05,337797.8,18060.42,27156.41,7315.314,36661.1,40489.59,580199.8,43586.66,38845.86,205800.3,19682.43,16725.57,29556.83,6760.814,4156.162,799.5692,855.0754,4588.304
adenosine 5--phosphosulfate,426.0143,C00224,426.0143,150190.1,185465.9,218361.8,189159,217779.8,117282.6,95359.83,244219,222909.8,93186.06,190094.8,180368.8,77225.01,49940.23,33739.61,81087.67,20456.39,33281.33,79384.27,147332.5,51358.12,154696.5,110306.1,203030.1,75425,161640,47781.64,135400.2,59897.2,171783.9,146106.6,78521.41,106499.6,151848.6,69747.55,211431.2,75818.32,186015.6,178752.5,50249.75,463002.9,368864,125948,200928.2,294218.9,68865.26,191665.3,258090.7,19349.27,253795.7,84134.87,70684.64,383296.8,71565.6,1656.934,12008.63,1334.539,21453.82,10034.49,0
ADP,426.0215,C00008,426.0215,970543.1,82651.09,186459.1,993050.6,60901.95,30480.57,381297.7,49739.2,168559.7,1180034,184684.4,92126.78,58327.56,36616.81,33462.02,121184.1,56375.63,35268.34,295153.1,172067.9,179495.5,934067.7,85411.02,31654.25,96951.03,41071.01,70337.72,1646410,144445.9,190034.5,1416090,533811.5,85732.3,864646.4,67978.02,266336.9,1120595,133038,75726.35,1164973,327936.3,121264.8,2394438,222244.9,65495.32,156661.1,79791.11,84072.06,1869086,157053.5,56707.77,2475179,144488.2,68097.59,133780.4,17425,3764.129,9178.178,2737.91,8206.157
ADP-D-glucose,588.0743,C00498,588.0743,404076.2,48212.2,35722.51,248738.8,32832.23,30376.32,310209.7,24191.32,21296.04,288507.8,22632.72,16226.29,14407.48,21463.29,4390.314,46956.66,20140.03,0,223869.9,56120.25,18980.68,371633.2,29234.16,19160.45,174536.4,46767.68,0,464712.2,23411.01,7766.898,297060.3,32186.8,10779.69,294005.2,28174.31,37921.02,313781.8,6769.921,0,199799,0,4310.305,183496.4,0,0,73960.77,0,0,254855.3,0,6169.91,230410.4,12210.39,0,0,0,0,0,0,719.8848
allantoin,157.0375,C01551,157.0375,32651.23,24924.29,50210.71,119713.7,58968.06,33345.2,81792.05,59969.64,46301.21,24320.39,127489.4,37096.77,48642.23,44625.7,104782.6,56273.87,34108.03,53189.97,46139.95,130868.1,8210.896,57380.69,68976.55,54083.26,103395,116715.3,72581.13,26027.86,18451.94,38669.51,63664.12,29169.99,26643.44,15952.98,91657,10304,52419.18,22790.08,81264.17,12896.79,43533.38,30992.07,69376.22,28821.46,83699.7,36260.81,19846.97,33788.5,75545.04,17274.26,48651.84,49963.78,32944.52,8666.431,0,0,0,0,491.56,0
arginine,173.1046,C00062,173.1046,40442.55,0,550.7847,47702.07,0,0,40476.69,1490.323,2081.76,48045.46,853.8748,1207.291,15598.53,1874.487,563.0981,23132.41,809.8019,0,30187.46,573.1505,700.8837,48227.54,1267.625,571.1516,34782.33,626.4087,1228.972,44044.8,830.3768,712.1119,50653.29,0,821.6624,45031.56,721.8411,0,46745.79,848.874,0,39785.39,938.8121,0,59179.2,571.8674,1568.883,38367.38,1481.688,1194.353,61571.64,0,748.7391,58615.44,1253.015,528.4282,0,1073.588,1028.033,1107.582,459.2893,0
arginine,174.0999,C00062,174.0999,25969.33,0,0,19426.32,0,0,7865.229,0,0,3923.896,1921.251,3184.212,2331.961,0,0,900.8135,0,686.5847,9541.226,0,12998.25,13619.38,648.0864,0,11409.18,0,0,5459.124,0,0,10098.64,0,0,14018.25,0,0,4762.489,0,0,2910.388,0,0,15347.26,0,571.7867,0,0,1366.024,8182.3,0,0,15358.21,0,0,0,0,452.8939,0,0,0
arginine,175.0982,C00062,175.0982,1193.483,0,0,549.0215,0,0,0,0,0,0,0,0,0,0,939.4847,0,0,0,1529.398,0,0,0,0,0,3361.098,0,698.4756,5279.677,0,0,1512.953,0,0,5639.088,0,0,2303.042,0,0,3202.996,0,0,3546.386,751.0147,0,0,0,814.0551,0,0,1500.913,0,0,0,0,505.0884,0,0,0,0
aspartate,132.0298,C00049,132.0298,2247679,1214979,919333.9,3444882,1045765,756337.4,2861873,1158465,645545.4,2079827,1621798,1976128,766274.4,961330.7,587119.8,825844.9,632203.4,549480.9,1812276,904653.6,878396.9,1467952,1112278,556009.2,1008661,1058888,580802.4,1551437,1016315,715215.6,2354850,1152286,800732.2,3618924,1077097,847873.9,1342880,771812.6,559288.6,1596899,909757.8,620993.5,1704807,944639.3,729470.3,645575.7,768211.9,602332.5,1050045,800826.8,491347.3,1105918,729509.4,582719.1,26408.02,9663.559,25833.44,8338.756,13374.17,3029.368
aspartate,133.0268,C00049,133.0268,19861.63,4670.486,5440.323,18304.03,4954.376,5877.723,64214.28,9941.606,3938.674,201826.5,54101.55,42664.65,91294.88,69509.7,58683.26,145473.6,62893.02,41856.22,261204.1,133541,83990.37,312253.4,182430,152963.8,261397.6,166191.6,116800.3,370524.2,257121.8,190594.1,284899,247901.5,269192.1,305338,238278.8,219283.6,498221.8,211947.1,182960.1,371371.5,246235.1,273935.2,341159.6,167774.6,115398.2,375317.9,125013.5,224285.3,648895.5,303906.1,269318.2,513963.2,305229.8,234280.7,4470.555,547.9189,560.0005,0,476.838,576.9705
