compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
Flavone,221.0607,C15608,221.0607,17367.69,12269.85,10762.59,20220.44,6918.806,21548.53,9705.019,8258.452,11423.3,11547.34,9180.858,13421.72,9856.955,10417.26,11677.51,9426.992,11580.55,6699.917,7971.002,11634.59,16502.9,8766.12,12635.21,16719.93,17726.46,11395.13,15136.92,2596.981,19318.53,11269.72,15337.7,4779.807,8078.379,5269.294,9544.209,15446.97,3632.107,5327.485,4127.146,9318.123,7240.521,9597.714,13549.96,13395.39,8043.677,0,2618.117,3635.522,1639.948,5369.458,5589.281,1239.804,3175.503,4051.846,2633.696,0,0,0,0,0
fructose-1-6-bisphosphate,338.9883,fructose-1-6-bisphosphate,338.9883,115702.2,55544.31,1631.952,121692.9,54940.34,2865.69,143624.3,97768.45,7240.75,158315.2,67287.84,4171.653,96974.55,104918.9,0,102406.3,86574.72,3756.656,142576.5,91756.21,1007.809,191904.1,93555.37,4419.938,150995.4,72976.66,929.6954,191183.4,41748.2,3300.638,236878.2,102838.5,0,209530.5,74173.47,912.5202,221694,59389.92,1533.952,205081.6,79543.72,1464.063,214449,74296.88,3941.789,158984.9,83432.65,1530.846,210310.9,147699.1,2814.551,236756,132395,4076.785,0,0,0,0,1006.377,0
fumarate,115.0033,C00122,115.0033,4052064,2345226,2238849,2723619,2563755,2376714,3122928,3108233,2492736,2979137,2739082,2401109,3076970,3068811,3377996,3151394,4133313,2263288,2126900,2843221,2269900,3038740,2530602,1877509,2157169,2310436,4444772,3679841,4699806,3913581,4953970,6681152,3707384,4577367,4428538,3797342,4840851,4948600,4378144,6616767,8458507,6212390,5944762,6652442,5504245,4458202,4299069,3102766,5805745,4160090,5697318,2960885,4186352,3899400,58563.77,1894162,1081046,819401.4,851817.8,820115.2
GDP,447.0049,C00035,447.0049,6496.369,6228.225,5144.59,5579.971,5767.631,7840.934,11281.72,5239.975,2584.28,6418.004,6368.181,2981.81,6793.64,6205.237,7100.335,9609.053,8152.436,3018.61,3399.37,6101.143,4895.969,5765.661,3341.927,5778.717,3812.887,5334.475,5581.959,1879.961,9008.836,5318.794,5645.271,4156.133,5236.565,1929.613,6168.806,9590.388,3975.926,8078.601,8334.671,8854.737,5288.26,6251.472,7115.43,6462.332,4146.938,1509.639,12370.39,4662.985,10869.15,5692.806,9434.319,4567.27,5450.827,8422.29,0,0,0,0,0,0
GDP,445.0072,C00035,445.0072,57485.76,37131.91,41616.03,56141.53,68908.89,50805.66,67285.03,50150.31,53805.88,61731.2,55180.71,41224.63,54103.48,60395.95,62761.03,56303.64,53940.28,47454.96,52955.38,51004.52,54305.64,42138.38,53976.51,41877,44986.82,48780.88,64587.68,49608.35,76567.57,53911.23,31948.84,51919.33,57589.14,63415.03,81647.43,49029.83,63463.29,55544.96,44843.47,65669.23,56952.32,57319.61,55556.34,63886.49,48083.25,45019.54,72574.84,57749,80448.55,52550.91,62600.02,56522.08,60098.95,76176.87,0,0,0,0,0,0
GDP,443.0092,C00035,443.0092,57115.51,40074.77,48875.2,47252.29,57807.63,57259.18,69842.27,45400.3,56602.62,65865.83,46765.92,58458.02,52743.92,44934.94,65800.09,72875.55,63272.96,43923.39,49426.11,51915.43,37082.51,69656.17,50265.23,55034.07,47813.84,52683.39,60018.76,60153.57,69803.76,56507.92,56444.93,47840.91,57380.64,60019.79,91741.87,51291.32,60029.3,45718.04,48622.32,64263.46,50818.87,42614.89,48583.65,65088.21,56890.76,51443.64,79665.87,55701.26,72866.85,53938.47,63288.59,61820.18,66148.73,85517.45,0,0,0,0,0,0
glutamate,146.0455,C00025,146.0455,3.71E+07,2007262,1854577,3.00E+07,1942427,1671015,3.10E+07,2071001,1713456,2.00E+07,1230193,1032207,1.61E+07,973493.1,717778.9,1.51E+07,777330.2,515878.8,1.96E+07,717112.3,586915.1,2.85E+07,1013955,570530.1,1.93E+07,786471.6,501695.4,2.08E+07,944025,578221.7,2.14E+07,1077025,603106.6,2.53E+07,892121.8,544564.6,2.38E+07,634501.3,448752.2,1.65E+07,849644.8,448692.1,2.87E+07,1065292,881573.4,1.63E+07,747445.7,375803.6,2.56E+07,740767.9,386285,3.03E+07,686648.9,314929.5,36543.59,13354.33,9459.816,9256.431,18392.37,12724.12
glutamate,147.0425,C00025,147.0425,1201878,97347.55,69704.13,1064097,74718.03,83908.86,2331340,124969.2,75088.6,4501869,278152.4,194412.1,3358620,397663,235874.6,4576976,313629.9,176147.8,7383684,625135.8,361330.4,9480272,947495.9,689829.2,7257948,872342.8,486708.8,1.22E+07,1462683,1089869,1.16E+07,1485966,1126699,1.26E+07,1328894,1197290,1.88E+07,1515939,1204877,1.25E+07,1815930,1783117,1.69E+07,1230917,759034.8,1.78E+07,1336918,1728125,2.96E+07,2606488,2024391,2.73E+07,2630339,1724695,17697.78,7132.312,2097.25,739.6085,566.6093,0
glutamine,145.0615,C00064,145.0615,556821.8,113794.9,23684.68,369378.2,74349.1,19103.15,412784.5,97384.23,25930.34,243303.7,56324.52,25014.8,95518.22,37849.35,8204.115,123759.4,84302.35,8192.078,329017.9,50293.05,5750.406,527364.9,88197.12,21763.51,272731.4,59265.89,2196.654,276417.6,55594.41,2138.686,191718.3,60750.4,8646.624,268466.2,43394.57,3646.448,343707.6,14585.83,6251.656,118699.8,37501.41,4848.721,356137.8,59621.09,9018.194,148782,19560.91,5872.481,300443.1,39442.59,1789.816,329460.2,17985.26,1790.141,888.1658,0,497.9256,492.8727,687.6016,474.1479
glutamine,146.0585,C00064,146.0585,249658.7,8546.378,1849.124,149300.5,0,1988.972,277121.1,3934.342,0,207709.7,8653.059,5663.026,71644.78,7882.743,8947.152,116694.5,21076.76,7066.459,165212.9,13125.23,12528.63,207840,44396.66,27397.13,97192.55,34792.34,4423.421,53086.76,28518.56,3234.795,17557.77,23888.79,4191.241,57203.72,25664.61,7423.053,53250.77,16106.6,12186.52,14592.57,54875.75,12752.72,84233.61,17891.83,12131.78,21374.56,8050.297,24709.53,71616.04,41181.77,16133.52,81908.12,53951.4,6508.789,0,0,587.5533,0,0,0
glutamine,147.0556,C00064,147.0556,0,0,0,4736.971,0,0,4234.135,0,750.0783,68297.85,611.4623,0,24747.98,1066.105,4761.573,51831.18,3066.213,0,130048.2,16081.47,3623.662,155502,46973.82,24538.05,79750.16,34282.22,10974.63,63095.68,46152.88,19872.04,19807.56,54124.99,42019.3,33468.76,57870.44,50376.35,49329.35,72828.12,46863.43,31800.54,95428.76,81072.47,59916.7,59538.68,28240.46,72484.97,54889.79,146579.9,147882.6,205990.9,142333,104406.8,202908.9,96189.84,0,749.0973,617.451,0,487.4639,0
glutathione,306.0755,C00051,306.0755,355110.2,1910.227,3853.7,466965.2,1049.498,809.3243,977241.9,5274.614,877.2171,597119,922.6976,0,3455.86,734.5833,890.1547,14490.04,0,731.45,1672827,819.1772,724.4137,985646.4,1417.364,786.0928,25825.53,891.5623,3017.94,883063.2,948.8398,2938.647,743152.4,1161.119,1498.477,91329.68,1017.797,903.3734,51949.75,923.3259,661.4363,127561.4,874.5264,889.8204,1071.701,892.0367,801.452,979.4855,664.0647,877.1653,363575.4,3267.137,0,417675.3,1053.988,835.683,1800.788,0,0,788.5421,742.5847,620.2534
glutathione,307.0781,C00051,307.0781,32677.54,36546.08,63884.83,54465.72,51755.87,70446.21,25855.08,45513.25,83093.02,26585.58,35902.8,53240.77,15298.32,39164.22,64601.55,21080.19,31105.58,45959.44,13675.76,39416.86,49273.31,24541.76,40010.73,64199.84,14246.6,38983.25,78400.91,31273.73,50074.36,69809.84,16884.95,49709.39,64115.34,23378.03,51490.62,66449.52,20828.04,37696.24,76885.28,15499.8,42505.74,85049.39,23525.07,55489.2,65597.2,10276.65,51233.65,64608.01,28385.96,48786.64,81112.8,16327.09,33339.11,89006.66,0,0,731.5691,0,614.5164,832.9892
glutathione disulfide,611.1443,C00127,611.1443,3099787,62964.43,51926.18,2344567,69472.89,83345.34,1767648,84454.77,48293.52,3209633,33832.24,32483.14,234857.6,75624.19,23302.61,623149.7,55071.34,19218.78,1087338,75893.74,40524.34,2712956,55532.23,38475.25,1188392,73883.07,39250.79,4891760,95205.11,23459.03,1422335,97733.64,48885.02,2600232,81092.02,33850.32,6380052,59403.38,41283.74,2268218,44977.71,31957.12,6510045,78581.11,59279.51,2851738,24135.75,31350.94,6122384,72579.98,35213.22,7770953,28757.29,28707.78,0,0,842.0646,3730.915,765.2134,1073.274
glutathione disulfide,612.1467,C00127,612.1467,605631.4,2653.373,6754.79,483495.3,8333.316,11172.47,358711.5,11063.69,2360.219,663616.7,671.7603,3825.716,43227.34,4661.155,1663.391,117569.7,5722.09,567.6205,213293.7,7610.37,1987.347,531124.6,5765.228,3690.083,241337,5068.293,2100.462,922915.3,6115.321,793.303,285895.9,8436.712,2610.45,497011.1,10469.13,1600.378,1212373,4768.093,3476.811,419092,2630.876,966.1844,1129878,5715.09,5950.172,493109.5,4566.502,2626.13,1103682,9609.121,1181.705,1564783,900.6342,785.6144,0,0,1129.134,0,0,0
glutathione disulfide,613.1398,C00127,613.1398,169044.9,0,932.4637,143229.4,785.3746,0,102861.6,1572.068,5300.395,188311.6,0,674.6529,8219.016,0,0,29866.02,2036.945,0,73966.8,2161.458,767.4569,161445.4,1575.621,0,84665.6,2848.913,1395.288,339217.3,3482.605,1227.405,76517.38,818.6747,1323.547,190708.7,1566.841,0,526158.6,4011.089,0,184189.6,0,0,456507.3,899.1603,2382.835,338016.6,0,784.603,684151.5,4204.222,1367.268,820072.9,2433.621,2215.876,0,0,0,0,0,0
glutathione disulfide,614.1414,C00127,614.1414,35480.45,0,0,28928.82,0,0,13114.27,0,0,34562.7,0,0,0,0,0,804.4545,0,0,9004.684,0,0,36014.42,0,0,11941.45,0,0,61469.29,0,0,7352.884,0,0,25387,0,0,91168.77,0,0,24151.9,0,0,80622.05,0,0,105681.3,0,951.4426,189974.7,764.9489,0,184128.8,0,919.1441,0,0,0,0,0,0
glutathione disulfide,615.1384,C00127,615.1384,974.7885,0,0,1580.391,0,0,0,0,0,1596.728,0,0,740.1935,0,0,0,0,0,0,0,0,2084.847,0,0,0,0,0,7506.115,0,0,0,0,0,2250.692,0,679.4487,17441.61,0,0,0,672.7722,670.2548,15976.94,0,644.6744,18782.62,0,0,49032.33,0,0,51204,0,0,0,0,0,0,0,0
Glycerophosphocholine,258.0982,C00670,258.0982,2087903,7662.704,14406.7,2024563,18610.68,16529.24,2532223,13028.12,23908.77,1764666,844.7943,7249.903,443675.8,13016.33,16214.96,924005.6,10944.36,9901.661,1971621,13943.49,14503.04,1781819,16584.45,11773.06,1063213,6123.518,19614.37,1789502,17088.38,15462.89,1430132,4384.789,12315.46,1439097,16441.47,9010.405,1981687,9409.812,12719.81,1081188,21170.73,17350.69,2151829,12039.98,9351.411,1082870,14244.83,8193.496,455637.1,11902.87,18413.98,2084415,11287.26,17925.9,798.2974,0,935.9451,636.9835,0,0
GMP,364.0496,C06193,364.0496,682522.7,590704.7,529556.7,595261.6,637937.1,643724.9,781432.7,561575.6,659102.4,596421.8,651847.4,603924.8,588678.2,623511.4,645599.2,667541.9,607528.4,592130.5,612137.2,591038.2,529063.6,555711.3,590200.5,583401.6,591861,573286.6,661821.6,667396.1,777434.9,664655.4,760969,645593.8,607354.1,715570.8,818966,634960.8,641676,673258.3,640324.1,731108.4,674523.8,649447.3,623025.1,698115.5,615022.5,675461.8,793474.2,603054.9,710906.4,613627.8,719728.7,621512.2,619374.9,767451.1,0,0,0,0,0,0
GMP,363.0545,C06193,363.0545,117225.4,86297.97,94193.37,85717.69,93700.5,104197.9,161023.2,59734.51,127215.3,79647.25,108528.1,92181.92,58936.71,104057.6,93595.44,81855.29,68291.36,101689.9,88825.26,105118,94547.72,126015.9,106789.2,90612.34,113810.6,83233.23,119536.9,45772.63,114192.1,101357.4,67661.71,66644.04,105905.3,128360.4,50650.18,98772.44,132834.1,110164.5,67534.74,117345,96833.81,69256.04,114531.1,117109.5,105696.2,102097.7,104663.8,116821.8,107940.1,97937.43,112477.1,94896.95,103891.5,117931.4,0,0,0,0,0,0
GMP,362.0517,C06193,362.0517,1437590,1271321,1265196,1316696,1335678,1373823,1723508,1269608,1366812,1460174,1343988,1347309,1231032,1371477,1441267,1473797,1366311,1275277,1251408,1265347,1151006,1386851,1304235,1258526,1246024,1263577,1455219,1479640,1628078,1411755,1620408,1386107,1392092,1565834,1789912,1415647,1512613,1460889,1401390,1557401,1363551,1389249,1426926,1473080,1356929,1456286,1662170,1399960,1646479,1340863,1537476,1391435,1387530,1578544,1215.363,688.9764,0,0,0,0
guanine,150.0443,C00242,150.0443,54195.33,27881,19964.7,60266.27,26406.4,44991.35,75463.34,29757.07,30829.72,95160.62,26580.97,22211.07,62931.98,46035.48,17906.88,48956.23,30676.28,16760.52,68174.62,17187.28,15208.13,74379.3,29253.5,18147.43,59806.64,12391.51,12458.09,64913.39,10024.7,5571.431,58771.38,27261.44,24356.75,90083.14,16047.21,13458.18,63543.87,24516.33,5688.249,49738.3,10927.83,5491.382,81237.62,9551.703,18932.45,61121.66,9962.853,7949.977,76967.14,11703.2,11833.12,62875.19,21395.07,32845.45,658.4971,0,0,0,0,498.2498
guanosine,282.0839,C00387,282.0839,137452.6,28651.61,9524.899,101034.2,12266.15,21454.9,150483,18352.13,11459.75,150321.9,14189.67,13218.38,99156.64,19659.72,15276.16,116645,21484.76,8337.086,125195.6,13475.94,9391.77,141564.5,19486.04,22449.35,153642.3,13462.99,5950.87,104691.5,8833.525,4990.954,62787.65,15233.15,15150.72,133214.9,11723.63,8328.023,88792.28,4655.75,7061.517,42212.9,10780.1,8830.613,150876.7,6708.226,9675.843,89209.52,8314.368,11921.54,205107.3,15919.46,5221.399,209447.1,10539.36,12371.79,1663.206,651.2917,789.1611,611.197,619.399,0
Hydroxyphenylacetic acid,151.0423,C05852,151.0423,4202964,8890629,3463031,3857531,8350523,2711002,3339113,9426211,2618654,3825203,1.28E+07,4126300,2774360,9307857,3308596,2999267,9481209,2053817,2918938,7744444,2213442,3227397,6491362,1758070,2141654,6899946,2805754,4097839,1.06E+07,3296350,7173642,9835407,2596300,5645354,9172051,2370720,4170255,7974080,2520866,5681968,7448624,2111102,3752134,7565032,2652810,2160303,7541751,2441074,2863405,6844182,2888363,2880757,6890794,1992965,2665414,514641.4,422818.9,96305.33,216197,182088.1
hypoxanthine,135.0294,C00262,135.0294,557920.4,403077.2,388652.2,384555.8,441690.2,509383.6,505322,476472.8,563336.8,449379.4,434985.3,535669,373338.1,417908.1,411403,465520.2,383497.3,474966.3,464716.9,449170.1,454637.8,467498.8,486477.2,540392.1,507165.8,469736.4,434478.1,365258.9,440550.2,420812.2,422428.3,361129.9,437403.8,547705.6,380333.6,456855.8,446873.5,454592.9,427248.3,350438.4,452492,632683.8,432139.3,523138.5,512083.7,454455.9,432033.2,527798.7,407837.8,428611.3,397454.7,355554.6,461561.2,355834.6,11772.78,19197.08,6567.692,13345.06,3041.159,3267.164
inosine,268.0741,C00294,268.0741,46954.93,0,0,12452.86,641.8484,617.2313,18194.01,0,0,11212.1,0,0,1299.23,619.8693,0,5229.971,0,1579.953,9498.9,0,0,12610.81,0,0,5642.873,0,0,5880.815,0,707.4016,1356.573,661.5408,1832.812,14867.16,0,0,7929.143,1231.672,0,45242.92,84962.77,0,26537.38,0,0,7436.162,633.4341,0,9386.34,1275.71,0,6094.753,0,0,0,606.7582,0,0,0,0
inosine,267.0722,C00294,267.0722,938561.3,22687.38,35747.95,393959.6,83205.75,54934.36,511048.5,38273.05,22990.23,363637.1,23313.94,20914.83,143948.7,37692.02,32641.87,237862.9,29883.32,99538.82,264387.4,22055.8,14349.23,340409.2,31212.78,28991.83,294144.2,23286.07,7865.089,279297.3,24092.96,39503.55,290911.7,30064.22,46998.27,496383.4,23213.44,39881.79,345357,19114.39,32584.54,902302.5,1328752,23217.06,659542.6,23024.49,25357.47,283475.4,26605.51,12762.6,342380.8,57000.2,23649.59,348973,26930.72,23401.59,641.3384,0,0,0,0,0
L-arginino-succinate,292.1037,C03406,292.1037,210230.4,0,0,171241.9,0,0,224869.3,0,0,203303.4,0,0,42791.57,0,0,84888.84,0,0,155149,754.3171,0,204976.7,0,0,184085,950.8071,774.1838,212244.6,0,685.0718,194419.5,0,1348.507,185622.7,0,0,235656.4,0,2834.827,160527.5,747.2505,0,230177.7,0,0,138839.1,749.431,0,188870.2,0,0,248031.8,0,0,962.7979,0,0,0,589.551,0
L-arginino-succinate,289.1156,C03406,289.1156,21662.33,545.2207,0,16743.57,0,0,7144.645,0,0,11535.96,0,0,2338.087,0,0,604.2763,0,0,6259.13,0,0,12286.06,0,0,6941.201,0,0,2607.772,0,0,3040.182,0,0,3835.297,0,0,3367.353,0,0,0,0,0,1832.421,0,0,0,0,0,630.0577,0,0,1948.841,0,0,577.1676,0,0,0,0,0
leucine/isoleucine,130.0869,C00123,130.0869,748914.6,1331110,1074040,1659156,1460381,1074123,968262.2,1711575,1002610,811272.5,2013381,1758154,414185,1494985,714947.9,425763.7,883435.5,574200.7,671843.8,1069724,1093955,564490.8,1165638,590576.3,479088.5,1089090,717641.2,1057130,1165154,1098198,2283220,1592954,871660.5,2386261,1362034,923072.8,777457.9,1203546,646302,1576454,1316507,597442.8,859819.1,1203389,795121.2,363360.4,1237219,801763.6,497512.8,1036206,557209.1,452902.8,777487.4,737575.8,29763.55,12331.19,24178.69,7692.634,8500.564,8850.056
leucine/isoleucine,131.084,C00123,131.084,1984.719,539.1796,0,3320.162,558.939,1145.719,11877.14,1209.952,721.1221,23162.76,5042.482,5957.378,17655.1,12241.71,6383.457,21818.37,3690.782,5384.011,22966.44,33639.73,21182.83,36132.79,30351.87,28732.02,39444.36,36186.29,21356.73,33435.12,53701.1,43848.31,45582.97,59934.05,54442.72,36317.53,47369.41,34229.91,49356.07,78830.56,49152.24,38701.12,79213.01,115515.6,44539.84,51259.77,34256.5,48697.11,91879.86,78593.5,72233.8,163193.9,109831.4,78102.71,176524.3,112741.8,675.8306,0,0,0,0,0
malate,133.0141,C00149|C00497|C00711,133.0141,1.88E+07,9655637,1.33E+07,4.00E+07,1.64E+07,1.24E+07,3.99E+07,6173032,1.58E+07,4.59E+07,2.91E+07,1.77E+07,1.73E+07,4.08E+07,2.30E+07,2.25E+07,3.56E+07,1.72E+07,2.46E+07,3.66E+07,2.42E+07,2.08E+07,3.85E+07,2.89E+07,2.73E+07,4.72E+07,1.52E+07,5.27E+07,9.57E+07,6.38E+07,5.58E+07,7.38E+07,8.25E+07,6.49E+07,9.71E+07,5.48E+07,5.94E+07,9.80E+07,5.29E+07,5.28E+07,8.66E+07,6.53E+07,5.67E+07,4.45E+07,2.77E+07,3.25E+07,6.43E+07,4.42E+07,4.88E+07,1.23E+08,1.29E+08,6.36E+07,1.23E+08,6.07E+07,614249.9,1022093,1157318,840832,578492.5,430095.2
methionine,148.0434,C00073,148.0434,49183.98,33661.42,20687.99,56625.21,29559.55,24185.78,54466.46,31013.13,20145.61,55998.45,28255.86,30722.39,35326.79,33748.11,14094.66,32457.52,20406.64,14458.77,44558.89,28809.82,18801.89,44673.27,38499.75,20069.06,18724.02,32160.89,16941.55,37294.21,34966.97,23460.5,50273.3,44786.11,23996.33,52401.77,32939.63,25975.6,43546.5,30172.07,17051.81,44389.48,36232.25,19409.92,48431.11,34087.95,25012.4,31488.94,37258.53,23112.71,46668.38,37222.26,17801.54,48427.69,37029.46,20545.09,0,0,639.8982,0,0,0
methionine,149.0414,C00073,149.0414,0,2149.761,0,0,4058.386,510.224,0,588.4178,0,0,0,0,0,0,1781.696,731.8425,0,575.095,746.4545,0,669.2151,719.5873,1415.79,0,773.4158,1089.564,579.0662,1997.173,0,0,753.1122,3834.256,766.6559,789.6667,902.2929,774.4759,1713.779,5621.625,681.1497,869.1424,5270.321,3532.224,0,0,736.571,2003.978,4166.917,8854.843,5071.093,17934.68,9317.64,3387.088,23785.96,6454.011,592.6631,611.5572,516.5579,0,0,0
Methionine sulfoxide,164.0408,HMDB02005,164.0408,198895.6,191529.5,202245,238001.3,218054.2,180997.3,184501.5,226799.3,244863.7,240509.2,233494.8,218474.5,242798.1,252021.4,224284.2,238205.4,274319.2,175930.2,189940.5,275271.3,284690.2,232575.5,204853.8,220082.8,152290.6,231963.8,298687.2,208205.1,344396.3,243222.9,203833.1,276734.3,215586.6,186839.1,268133.7,274184.5,135925.8,136488.4,150376.5,133517.1,187519.2,176194.9,190847.8,212843.5,93420.69,30371.13,170347.9,132073.5,193582.1,179628.3,403655.5,184193.5,177889.2,196338.1,14447.22,9527.528,1454.467,0,986.3971,0
N-acetyl-glucosamine-1/6-phosphate,300.0486,C04256|C00357,300.0486,141684.7,23842.95,10661.56,78033.94,10204.26,46002.11,101952.4,27564.89,886719.6,51577.19,26923.6,17374.11,50113.69,17210.05,13333.37,24831.57,8336.476,9722.994,36353.99,6324.224,12777.37,129373.2,13218.79,26429.55,105861.1,16067.46,8333.377,68259.28,16188.98,3605.406,63942.46,10301.75,20125.43,33816.84,17905.18,23355.92,111254.2,23362.07,9802.665,73679.04,37237.39,19601.1,117655.9,14792.86,21968.72,56778.41,9318.062,3519.55,58610.63,11059.96,5414.413,44831.23,7856.657,18642.75,0,0,718.4253,0,0,0
N-acetyl-glucosamine-1/6-phosphate,301.046,C04256|C00357,301.046,2365.931,619.5593,694.7305,621.3012,687.3867,773.7076,549.1848,0,11451.68,18830.43,746.5251,0,12299.17,0,756.4178,11890.5,1532.04,0,18022.23,868.158,0,7463.24,709.0535,0,13727.71,0,0,12676.17,0,731.1824,12350.28,0,790.7823,18025.25,0,0,51877.62,0,0,23751.34,623.6262,0,5699.995,0,601.6772,35667.89,491.3435,507.4551,28677.75,645.8578,0,24636.88,736.1821,821.7016,2009.02,556.3204,0,0,598.0621,0
N-acetyl-glutamate,189.0512,C00624,189.0512,420804.3,2055672,1246287,1284431,1705168,1509378,435929.4,1800223,1202597,369892.5,1633708,892888.5,276931.4,1878148,1197570,291997.7,1283252,845883.7,368789.3,1900703,1021719,369126.4,2156176,1258672,195819.9,2116491,1102363,360012.7,2064521,1570870,330744.8,1790864,1396510,306708.1,2285416,1368501,356926.4,1755976,1076778,331018.4,2651790,1650899,277144.1,1942092,1208680,228210.8,1834617,1015257,299308.7,1816553,1188253,250925.5,1745942,1491583,11816.48,3149.273,2665.673,658.4691,782.6576,1418.057
N-acetyl-glutamine,189.0652,HMDB06029,189.0652,384578.8,3071.731,5524.951,203865.3,2421.633,4140.172,829118.9,5101.496,1304.247,909311.8,23663.72,4332.134,422071.9,6987.726,10035.48,1770396,8416.629,11364.03,3826516,31720.37,30292.65,7643658,26991.14,21838.3,3605064,37413.22,35529.23,3014614,95623.44,12946.44,2857572,65052.38,63555.93,3336322,102068.1,81812.42,4439324,19107.3,84110.7,2457412,61634.65,54606.28,5958470,87264.55,27272.21,4424674,19713.33,61837.86,1.22E+07,164428.9,160171.9,1.09E+07,88186.39,5963.127,2682.173,3737.588,774.3347,2783.827,3796.391,4711.184
N-acetyl-glutamine,188.0673,HMDB06029,188.0673,1.31E+07,348699.4,286908.4,9775598,239072.2,287162.9,9488947,642455.6,178341.7,2265458,563162.7,135345.5,1470724,261333.6,186852.1,3256708,328384.8,212972.7,4210106,644892.4,261034.9,8389704,344720.1,138272.2,3677819,399044.3,355995.8,2282465,815784.4,126232,2675994,538626.7,295511.8,3463880,726981.4,268997.5,3034779,210199.6,285175.3,1671059,299459.8,212523.3,5738448,694443.8,165250.9,2322830,143845.1,190058.6,6837160,397337.5,454068,8002116,404903.6,65720.19,3594.502,10039.86,2147.74,12060.63,10432.36,11224.57
N-acetyl-glutamine,187.0716,HMDB06029,187.0716,876423.8,871640,764867.6,921774.9,305165.2,678754.2,999886.9,841710.8,691582,721757.6,817065.5,949356.2,957504.8,504022.1,974909.6,1125682,809758.6,694764.1,358074.4,844647.3,648041.2,768899.7,919397.3,717112.1,473965.8,699427.1,823813.7,544802.9,836444.4,312530.3,710485.8,683041.2,750692.6,993921.2,814364.7,899205.9,765961.1,396111.3,771908.7,474224.2,911932.5,1189731,473427.8,867241.4,444874.9,799423.8,229353.4,927496.9,1091149,810116.8,1246183,881915.4,944707.9,511107.8,641700.8,746836.7,326993.3,644497.7,371037.1,605684
N-Acetyl-L-alanine,130.0504,C01073,130.0504,592437.8,521791,478576.3,542667.1,655254.9,779065.1,679619.1,605905,676618.4,616017.6,600489.1,535421.8,468366.7,684022.4,598892.1,602161.1,698113.1,504539,439563.7,547524.8,527200.1,700689.2,553085.1,485735.2,533786.9,568139.9,667633.9,597569.2,599158.2,722008.4,712573.1,632188,654288.1,543182,647550,553807.9,498735.2,690338.5,502479.2,583868.7,665237.4,563989,571135.2,661272,512590.3,473645.3,520208.2,473280.7,484926.8,502285.7,764206.2,459666.5,507473.3,493275.4,226523.7,100842.6,38825.26,55996.41,72255.27,37395.58
N-carbamoyl-L-aspartate,175.0362,C00438,175.0362,2.30E+07,572269.2,2306124,8435314,8574.837,364121.3,1.20E+07,436446.3,524323.2,1.30E+07,1269902,1255994,1747466,202703.3,520865.5,4123414,268242.8,323047.1,1.02E+07,165732.7,537198.5,1.84E+07,223580.4,115924,6033762,208451.2,323339.2,1.06E+07,637401.3,697714.5,1.10E+07,732580,456927.7,1.24E+07,1475790,386928.2,1.48E+07,610009.4,302887.7,7273453,762405.5,378794.5,1.52E+07,884596,559359.3,9414232,40867.53,687646.1,2.72E+07,452921,516327.4,2.59E+07,255091.9,425345.6,125746.3,222149.2,115851.9,260391.8,177263.3,155625.3
NAD+,662.1012,C00003,662.1012,197352.1,94323.38,54916.84,146028.6,90523.5,59589.61,174274.9,112317.2,75178.4,182409.2,73709.63,40142.07,57165.02,79601.97,50651.62,94430.16,64999.69,30195.67,128854.2,84534.13,45553.19,166306.6,88495.85,34677.21,111320.9,88013.24,46315.92,186661.8,102933.6,73319.73,186016,101699,72027.23,172447.6,90925.74,63546.83,202465.4,88349.26,56521.95,178534.4,80189.41,64517.4,166161,85834.33,60309.71,112448.6,74662.69,44658.07,176746.9,75687.37,48960.51,178499.1,77722.76,44437.12,0,0,0,0,0,0
NAD+,663.1039,C00003,663.1039,39645.76,10652.67,5261.324,27998.45,17185.18,7103.229,30940.07,16097.54,8962.817,26612.91,13273.98,2998.627,3436.257,6671.908,5908.753,4979.477,9469.854,3535.827,25080.52,12696.57,7283.888,21036.88,13260.17,9938.977,8467.418,9609.039,2780.971,24325.07,9285.977,9735.44,23021.62,20988.21,6381.074,26895.86,12201.51,3036.969,24540.31,11135,1944.874,26535.03,5647.542,6388.801,32045.46,9240.036,5365.833,30183.6,8918.865,3288.425,41249.45,12412.9,5551.367,49198.75,6505.537,1540.586,0,0,0,0,0,0
NADH,664.1174,C00004,664.1174,7938.271,0,1919.473,6529.245,0,0,9487.359,0,0,22062.58,0,0,0,2370.61,0,7537.137,0,1707.413,18546.82,2380.782,0,40652.75,0,0,2035.885,0,0,61000.8,0,5564.017,19342.15,2906.18,0,22195.08,3017.932,0,18042.68,2008.125,0,29486.9,2099.243,0,33207.25,0,0,13546.53,1832.144,0,3977.372,0,0,18919.33,0,0,0,0,0,0,0,0
