"","compound","treatment","sample.type","mean.k","sd.k","mean.A","sd.A"
"60","dAMP","Acetate","SML",-0.00020818860282395,NA,0.973372020611204,NA
"61","deoxyuridine","Acetate","BBD",NA,NA,NA,NA
"62","deoxyuridine","Acetate","HBBD",NA,NA,NA,NA
"63","deoxyuridine","Acetate","SML",NA,NA,NA,NA
"64","dGMP","Acetate","BBD",2.95592005511834e-06,0.000123390384616429,0.90011295947309,0.00680269006015545
"65","dGMP","Acetate","HBBD",-1.26572093539765e-08,0.00012059690777369,0.897885464144191,0.0046818200633784
"66","dGMP","Acetate","SML",-2.78471848660979e-05,6.85785929933882e-05,0.90063508076993,0.00298526822991193
"67","dihydroxy-acetone-phosphate","Acetate","BBD",0.00121185109151986,0.000210380390661647,0.975199853274167,0.00553920166826429
"68","dihydroxy-acetone-phosphate","Acetate","HBBD",6.35603168478367e-05,0.000119048866747659,0.992688360917532,0.00508926823142222
"69","dihydroxy-acetone-phosphate","Acetate","SML",5.00920738851908e-06,5.79406790042613e-05,0.993268338901326,0.00263304063749259
"70","Diiodothyronine","Acetate","BBD",0.00716366147196411,0.00628743008113432,0.596496678299835,0.269809676439044
"71","Diiodothyronine","Acetate","HBBD",-0.0147234385868662,NA,0.171093979412473,NA
"72","Diiodothyronine","Acetate","SML",NA,NA,NA,NA
"73","dimethylglycine","Acetate","BBD",0.00197459663443341,0.000982123538892357,0.904241401639832,0.0424864989834622
"74","dimethylglycine","Acetate","HBBD",0.00034297905989714,0.000500202133320076,0.974321987139085,0.0123777751981423
"75","dimethylglycine","Acetate","SML",-0.00011413263409292,9.08409432635923e-05,0.960644942374611,0.015788051725516
"76","dUMP","Acetate","BBD",NA,NA,NA,NA
"77","dUMP","Acetate","HBBD",NA,NA,NA,NA
"78","dUMP","Acetate","SML",NA,NA,NA,NA
"79","FAD","Acetate","BBD",0.00125321534848927,0.000353861385674636,0.749033970219898,0.0260296228761427
"80","FAD","Acetate","HBBD",0.000109298113152259,8.06052354887537e-05,0.794203011081263,0.0114732935417432
"81","FAD","Acetate","SML",0.000136454492255487,8.4520376606419e-05,0.841810847035168,0.00863059043350749
"82","fumarate","Acetate","BBD",0.00135871515320733,0.000586201192197692,0.929596693320685,0.0134169637651333
"83","fumarate","Acetate","HBBD",2.67332180088644e-05,2.37962173604399e-05,0.998081955965744,0.000722587783898876
"84","fumarate","Acetate","SML",1.81367163170193e-05,4.34774124675797e-06,0.998191647666091,0.000242329236774418
"85","glucosamine","Acetate","BBD",-0.0056733354695833,0.008769990766963,0.161324117695306,0.0514772372615716
"86","glucosamine","Acetate","HBBD",-0.00320246462954134,0.00145913881909673,0.188713715175443,0.0428778081071404
"87","glucosamine","Acetate","SML",-0.00290759190304755,0.00224673730624467,0.175671351613949,0.0108729778016364
"88","glutamate","Acetate","BBD",-0.00165913872005848,0.00248822720485782,0.355204277554702,0.093986377888317
"89","glutamate","Acetate","HBBD",0.00066982429072867,0.00271038053363229,0.59342688593733,0.0951022674373632
"90","glutamate","Acetate","SML",0.00520526991109739,0.00358353314322402,0.75828663364509,0.0637786650927092
"91","glutamine","Acetate","BBD",NA,NA,NA,NA
"92","glutamine","Acetate","HBBD",NA,NA,NA,NA
"93","glutamine","Acetate","SML",NA,NA,NA,NA
"94","glutathione","Acetate","BBD",NA,NA,NA,NA
"95","glutathione","Acetate","HBBD",NA,NA,NA,NA
"96","glutathione","Acetate","SML",NA,NA,NA,NA
"97","glutathione disulfide","Acetate","BBD",0.00180818735294824,0.000631161093757019,0.819426173094421,0.0351762900665841
"98","glutathione disulfide","Acetate","HBBD",9.08174202893514e-05,0.000332123103098821,0.927992862012227,0.00798969775769922
"99","glutathione disulfide","Acetate","SML",-0.000235511190946101,0.000559905412673217,0.919959195833208,0.0389757199509574
"100","GMP","Acetate","BBD",-0.000506424685178633,0.000689395234169445,0.805194114678348,0.0264469485644526
"101","GMP","Acetate","HBBD",-0.000231780075828604,0.00061279737334105,0.809130917273024,0.0275555625431641
"102","GMP","Acetate","SML",-0.000196942814697487,8.38250936289402e-05,0.826015520012761,0.0141746561229919
"103","guanosine","Acetate","BBD",-0.00049387627117511,0.000429388377912494,0.894770421660714,0.0367096540140738
"104","guanosine","Acetate","HBBD",0.000221866341708204,0.000938589433311934,0.779072229466296,0.0860967012249583
"105","guanosine","Acetate","SML",-0.000488821207839806,0.000226603233912945,0.937334205976216,0.0451765587859286
"106","hypoxanthine","Acetate","BBD",NA,NA,NA,NA
"107","hypoxanthine","Acetate","HBBD",NA,NA,NA,NA
"108","hypoxanthine","Acetate","SML",NA,NA,NA,NA
"109","inosine","Acetate","BBD",0.00453704238212601,0.000562136324871902,0.917641649119661,0.0313335057085493
"110","inosine","Acetate","HBBD",-5.72456820509992e-05,0.0026368239635504,0.798359506819653,0.0344975155656584
"111","inosine","Acetate","SML",-0.000966083783866023,0.0019949982540261,0.651451005359738,0.0279028806915207
"112","lactate","Acetate","BBD",-3.78830056985677e-05,1.22825648172549e-05,0.987450218825264,0.0017492113671527
"113","lactate","Acetate","HBBD",-2.9511375698968e-05,NA,0.989709395628205,NA
"114","lactate","Acetate","SML",-6.96905931925449e-06,5.22118537662006e-06,0.991027947646451,0.000303217706292373
"115","leucine/isoleucine","Acetate","BBD",0.000136529697493241,9.96341213434016e-05,0.951339316530025,0.00549985515330167
"116","leucine/isoleucine","Acetate","HBBD",4.9512913292351e-05,7.93582746580643e-05,0.977828057980317,0.000755907741153449
"117","leucine/isoleucine","Acetate","SML",-5.98977571802524e-07,6.74211217782835e-05,0.96911257929863,0.00520851078889501
"118","malate","Acetate","BBD",0.00343399631859252,0.00113469301514912,0.849347918542296,0.0414828588649421
"119","malate","Acetate","HBBD",0.000363899677455792,0.000148619612049874,0.966924376359555,0.00492868206083283
"120","malate","Acetate","SML",9.59352320762967e-05,0.000260525175739858,0.947820258872028,0.00237140668366236
"121","methionine","Acetate","BBD",NA,NA,NA,NA
"122","methionine","Acetate","HBBD",NA,NA,NA,NA
"123","methionine","Acetate","SML",NA,NA,NA,NA
"124","N-acetyl-glucosamine-1/6-phosphate","Acetate","BBD",0.0123250555746931,0.0117466355939695,0.030871472973372,0.00883639603666633
"125","N-acetyl-glucosamine-1/6-phosphate","Acetate","HBBD",0.0103398913633009,0.0118963247523064,0.0136290389490265,0.00376607618618079
"126","N-acetyl-glucosamine-1/6-phosphate","Acetate","SML",0.00135844356288842,NA,0.00442752756804938,NA
"127","N-Acetyl-L-alanine","Acetate","BBD",NA,NA,NA,NA
"128","N-Acetyl-L-alanine","Acetate","HBBD",NA,NA,NA,NA
"129","N-Acetyl-L-alanine","Acetate","SML",NA,NA,NA,NA
"130","N-acetyl-L-ornithine","Acetate","BBD",NA,NA,NA,NA
"131","N-acetyl-L-ornithine","Acetate","HBBD",NA,NA,NA,NA
"132","N-acetyl-L-ornithine","Acetate","SML",NA,NA,NA,NA
"133","N-carbamoyl-L-aspartate","Acetate","BBD",4.35489320235442e-05,0.00010765677590822,0.973170446054214,0.00877340707468834
"134","N-carbamoyl-L-aspartate","Acetate","HBBD",0.000168335456851874,0.000198713686747619,0.995923831258736,0.00702536404821505
"135","N-carbamoyl-L-aspartate","Acetate","SML",9.77409733260039e-05,0.000166487897464715,0.995306327284048,0.00123527764057553
"136","NAD+","Acetate","BBD",0.00166054242483952,0.000401404399603759,0.920508399290056,0.0227086415287058
"137","NAD+","Acetate","HBBD",0.00033716900916019,0.000647822046068299,0.889526820135708,0.0209569833349227
"138","NAD+","Acetate","SML",0.000407433482692857,0.000570755642975464,0.939159489913853,0.0280410924958112
"139","NADH","Acetate","BBD",NA,NA,NA,NA
"140","NADH","Acetate","HBBD",NA,NA,NA,NA
"141","NADH","Acetate","SML",NA,NA,NA,NA
"142","NADP+","Acetate","BBD",0.000140043625517396,0.000437171413578383,0.925197477524239,0.0114472494163478
"143","NADP+","Acetate","HBBD",-0.000497240184002375,0.000906125196635004,0.824015662537464,0.0945405619429612
"144","NADP+","Acetate","SML",3.48393858393635e-05,0.00190260773250644,0.727703719184513,0.148051318891837
"145","NADPH","Acetate","BBD",0.0112190348390211,0.00681854925064444,1.39341905109449,0.604692789672714
"146","NADPH","Acetate","HBBD",-0.00150881179937967,NA,0.961144631531221,NA
"147","NADPH","Acetate","SML",0.00461965742962358,0.00689242650108808,0.930177220379946,0.0588983500626546
"148","nicotinate","Acetate","BBD",1.2035192631506e-06,3.40292114808154e-05,0.970432240703477,0.00270209633425293
"149","nicotinate","Acetate","HBBD",-9.14145956189931e-05,5.45934171216299e-05,0.974321354959613,0.00291282146200492
"150","nicotinate","Acetate","SML",-0.000143631920288435,2.21215046584077e-05,0.975480348587515,0.00041468283804083
"151","p-hydroxybenzoate","Acetate","BBD",NA,NA,NA,NA
"152","p-hydroxybenzoate","Acetate","HBBD",NA,NA,NA,NA
"153","p-hydroxybenzoate","Acetate","SML",NA,NA,NA,NA
"154","phosphoenolpyruvate","Acetate","BBD",NA,NA,NA,NA
"155","phosphoenolpyruvate","Acetate","HBBD",NA,NA,NA,NA
"156","phosphoenolpyruvate","Acetate","SML",NA,NA,NA,NA
"157","Pyroglutamic acid","Acetate","BBD",-3.0603515923189e-05,1.86761828361538e-05,0.968925456094562,0.00323559579687805
"158","Pyroglutamic acid","Acetate","HBBD",2.62729819259827e-05,6.49441781018317e-05,0.978012973682133,0.00144911760426438
"159","Pyroglutamic acid","Acetate","SML",-9.18243992578016e-06,3.07813796200555e-07,0.977860103782004,0.00176994242069448
"160","pyruvate","Acetate","BBD",2.20539553872933e-05,6.4957794929904e-06,0.993338336995655,3.36180546926052e-05
"161","pyruvate","Acetate","HBBD",9.88357916622712e-07,9.25601863452986e-06,0.994734134508083,0.00127598774864652
"162","pyruvate","Acetate","SML",-7.11160350297853e-06,1.34862965819868e-05,0.995363442217099,0.000755090768022874
"163","S-ribosyl-L-homocysteine-nega","Acetate","BBD",0.0139822921856993,0.00766495820024726,0.331126605226176,0.141103883769462
"164","S-ribosyl-L-homocysteine-nega","Acetate","HBBD",0.00130757185006008,0.00274659457052147,0.0305908187342966,0.00141687848901724
"165","S-ribosyl-L-homocysteine-nega","Acetate","SML",6.1870133839079e-05,0.00466580590505251,0.0364746652976631,0.0169595094710051
"166","shikimate","Acetate","BBD",0.00329189196180977,0.00268155626805613,0.855106585600314,0.131072103789366
"167","shikimate","Acetate","HBBD",0.00114560689946901,0.000460896609421138,1.00594890474402,0.00839000834299884
"168","shikimate","Acetate","SML",5.99145267732807e-05,0.000137227606899026,0.993424715880205,0.00294536998158564
"169","sn-glycerol-3-phosphate","Acetate","BBD",NA,NA,NA,NA
"170","sn-glycerol-3-phosphate","Acetate","HBBD",NA,NA,NA,NA
"171","sn-glycerol-3-phosphate","Acetate","SML",NA,NA,NA,NA
"172","succinate","Acetate","BBD",0.00408017322725428,9.39640720514278e-05,0.820576564863399,0.0400150280902213
"173","succinate","Acetate","HBBD",0.000348564178407176,7.02325839185155e-05,0.98603807739127,0.00394926971903289
"174","succinate","Acetate","SML",8.25175629312141e-05,4.13322691796793e-05,0.982306711098183,0.00149482391173337
"175","taurine","Acetate","BBD",NA,NA,NA,NA
"176","taurine","Acetate","HBBD",NA,NA,NA,NA
"177","taurine","Acetate","SML",NA,NA,NA,NA
"178","trehalose-6-Phosphate","Acetate","BBD",0.00353845403317943,0.00343046978751648,0.0723322914482644,0.00606186787898587
"179","trehalose-6-Phosphate","Acetate","HBBD",0.00183788275697484,0.00526188375238468,0.0660543880053478,0.0272084438738379
"180","trehalose-6-Phosphate","Acetate","SML",0.000436434402185013,0.00263036177086876,0.0691756300356397,0.0136347120010866
"181","trehalose/sucrose","Acetate","BBD",-0.000124367616632768,0.000320924533733538,0.969750654836646,0.0207449019638295
"182","trehalose/sucrose","Acetate","HBBD",4.80076685210392e-06,0.000117044233719977,0.990604812098985,0.00998185953748471
"183","trehalose/sucrose","Acetate","SML",0.00068061274954457,0.00157757108295894,0.996092823691171,0.0267342812388528
"184","UDP-D-glucose","Acetate","BBD",0.000775050487588436,0.000360940690731785,0.813848734800184,0.0278139013635988
"185","UDP-D-glucose","Acetate","HBBD",0.000291931535457672,0.000467775700280645,0.926852989263393,0.0261428601509249
"186","UDP-D-glucose","Acetate","SML",7.84421085884861e-05,0.000128940528378609,0.929225202026639,0.0234014872247461
"187","UDP-D-glucuronate","Acetate","BBD",0.00188312589446079,0.000449963058651604,0.818327393598377,0.0289263755189394
"188","UDP-D-glucuronate","Acetate","HBBD",0.000179220824873044,7.18737670182309e-05,0.941401649511003,0.00557096681948546
"189","UDP-D-glucuronate","Acetate","SML",0.000148380952110956,0.000272192482679985,0.968254972546323,0.0153040767937418
"190","UDP-N-acetyl-glucosamine","Acetate","BBD",0.00261830353845358,0.00106331799743912,0.756822554597753,0.0497326813026948
"191","UDP-N-acetyl-glucosamine","Acetate","HBBD",0.00032069208651586,0.000454951264942959,0.942672383587066,0.0135783184000011
"192","UDP-N-acetyl-glucosamine","Acetate","SML",-5.17220992383108e-05,0.000117776685478554,0.943462353828804,0.0156728433751954
"193","UMP","Acetate","BBD",-5.93345813767346e-05,2.46837932586271e-05,0.961866453630005,0.0116235063808754
"194","UMP","Acetate","HBBD",-1.39755198010258e-05,9.62560829172422e-05,0.9817328187281,0.00959778961598953
"195","UMP","Acetate","SML",3.06931028051481e-05,8.89437721444061e-05,0.988584355644227,0.00530611860322369
"196","uridine","Acetate","BBD",5.76494334077366e-05,0.00018535633089102,0.915425418322981,0.00258290802092663
"197","uridine","Acetate","HBBD",0.000379406397595542,0.00091787610230852,0.960927719116377,0.0206808332222335
"198","uridine","Acetate","SML",-0.000833592898919723,0.000523972067968628,0.89873704309894,0.0465555666721992
"199","valine","Acetate","BBD",-8.24774158294563e-05,3.90901454294209e-05,0.973626230112086,0.0032937034363447
"200","valine","Acetate","HBBD",7.10502503428619e-05,4.33216563742158e-06,0.989558367384812,0.000534786433864219
"201","valine","Acetate","SML",-2.96047975912008e-05,2.40148771276131e-05,0.986260618132344,0.00366106998898057
"202","Xanthurenic acid","Acetate","BBD",NA,NA,NA,NA
"203","Xanthurenic acid","Acetate","HBBD",NA,NA,NA,NA
"204","Xanthurenic acid","Acetate","SML",NA,NA,NA,NA
